Student ID,Block,Trial,ResponseTime(ms),ErrorTimes
3552640,3,0,1287,0
3552640,3,1,1902,0
3552640,3,2,617,0
3552640,3,3,682,0
3552640,3,4,1198,0
3552640,3,4,617,1
3552640,3,5,1036,0
3552640,3,6,634,0
3552640,3,7,603,0
3552640,3,8,584,0
3552640,3,9,667,0
3552640,3,10,1201,0
3552640,3,11,581,0
3552640,3,12,648,0
3552640,3,13,1197,0
3552640,3,14,646,0
3552640,3,15,930,0
3552640,3,16,667,0
3552640,3,17,667,0
3552640,3,18,1285,0
3552640,3,19,651,0
3571330,3,0,703,0
3571330,3,1,800,0
3571330,3,2,900,0
3571330,3,3,784,0
3571330,3,4,834,0
3571330,3,5,748,0
3571330,3,6,817,0
3571330,3,7,701,0
3571330,3,8,884,0
3571330,3,9,615,0
3571330,3,10,668,0
3571330,3,11,597,0
3571330,3,12,666,0
3571330,3,13,749,0
3571330,3,14,768,0
3571330,3,15,801,0
3571330,3,16,783,0
3571330,3,17,748,0
3571330,3,18,667,0
3571330,3,19,650,0
3636895,3,0,667,0
3636895,3,1,651,0
3636895,3,2,553,0
3636895,3,3,753,0
3636895,3,4,650,0
3636895,3,5,632,0
3636895,3,6,483,0
3636895,3,7,584,0
3636895,3,8,620,0
3636895,3,9,567,0
3636895,3,10,531,0
3636895,3,11,1901,0
3636895,3,12,1434,0
3636895,3,13,632,0
3636895,3,14,1317,0
3636895,3,15,632,0
3636895,3,16,654,0
3636895,3,17,590,0
3636895,3,18,789,0
3636895,3,19,1804,0
3644372,3,0,748,0
3644372,3,1,651,0
3644372,3,2,815,0
3644372,3,3,667,0
3644372,3,4,716,0
3644372,3,5,831,0
3644372,3,5,-2235,1
3644372,3,6,868,0
3644372,3,6,-2148,1
3644372,3,6,-2148,1
3644372,3,7,1118,0
3644372,3,8,735,0
3644372,3,9,1918,0
3644372,3,10,664,0
3644372,3,11,1403,0
3644372,3,11,-2565,1
3644372,3,12,2250,0
3644372,3,13,1335,0
3644372,3,14,683,0
3644372,3,15,817,0
3644372,3,16,1203,0
3644372,3,17,917,0
3644372,3,18,1832,0
3644372,3,19,763,0
3670269,3,0,1333,0
3670269,3,1,1419,0
3670269,3,2,1101,0
3670269,3,3,1304,0
3670269,3,4,1016,0
3670269,3,5,949,0
3670269,3,6,1031,0
3670269,3,7,1551,0
3670269,3,8,1117,0
3670269,3,9,901,0
3670269,3,10,1569,0
3670269,3,11,985,0
3670269,3,12,1216,0
3670269,3,13,1304,0
3670269,3,14,1300,0
3670269,3,15,1434,0
3670269,3,16,1399,0
3670269,3,17,1052,0
3670269,3,18,1220,0
3670269,3,19,1109,0
3675086,3,0,2249,0
3675086,3,1,1149,0
3675086,3,2,1249,0
3675086,3,3,1167,0
3675086,3,4,1301,0
3675086,3,5,1333,0
3675086,3,6,852,0
3675086,3,7,1232,0
3675086,3,8,1064,0
3675086,3,9,1240,0
3675086,3,10,1241,0
3675086,3,11,1248,0
3675086,3,11,-935,1
3675086,3,12,1983,0
3675086,3,12,-919,1
3675086,3,13,1752,0
3675086,3,14,1217,0
3675086,3,15,1366,0
3675086,3,16,1214,0
3675086,3,17,1067,0
3675086,3,18,1149,0
3675086,3,19,1165,0
3675086,3,19,-6307,1
3675086,3,19,-6307,1